Plant ID,Plant name (English),Owner,Country/Area,Region,Coordinates,Plant age (years),Parent,SOE Status,Subnational unit (province/state),Municipality,Coordinate accuracy,Main production equipment,GEM wiki page,Latitude,Longitude,start_year,workforce,sinter_ttpa,coking_ttpa,pelletizing_ttpa,ferronickel_ttpa,route,capacity_operating_ttpa,capacity_pipeline_ttpa,capacity_idle_ttpa,capacity_closed_ttpa,iron_capacity_operating_ttpa,capacity_operating_bof_ttpa,capacity_operating_eaf_ttpa,plant_status,capacity_statuses
P100000121224,Ahya Steel Folad Baft Company DRI plant,Ahya Steel Folad Baft Co,Iran,Middle East,"29.2891090, 56.4907070",7.0,Bank of Industry and Mine (Iran); Tourism Financial Group,Partial,Kerman,Baft,exact,DRI,https://www.gem.wiki/Ahya_Steel_Folad_Baft_Company_DRI_plant,29.289109,56.490707,2019.0,700.0,,0.0,,0.0,DRI (ironmaking only),0.0,0.0,0.0,0.0,1600.0,0.0,0.0,operating,operating
P100000120644,Aichi Steel Chita plant (Tokai),Aichi Steel Corp,Japan,Asia Pacific,"35.0445580, 136.9007720",83.0,Aichi Steel Corp [100.0%],N/A,Chūbu,Chita,exact,EAF,https://www.gem.wiki/Aichi_Steel_Chita_plant_(Tokai),35.044558,136.900772,1943.0,965.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1495.0,0.0,0.0,0.0,0.0,0.0,1495.0,operating,operating
P100000120756,Ajaokuta Steel plant,Ajaokuta Steel Co Ltd,Nigeria,Africa,"7.5113360, 6.6893640",,Ajaokuta Steel Co Ltd [100.0%],Full,Kogi State,Ajaokuta,exact,BF; BOF,https://www.gem.wiki/Ajaokuta_Steel_plant,7.511336,6.689364,,10000.0,2610.0,880.0,,,BF-BOF (coal-based),0.0,1300.0,0.0,0.0,,,,construction,construction
P100000121166,Aktobe Generatsiya steel plant,Aktobe Generatsiya LLC,Kazakhstan,Eurasia,"50.3551170, 57.1451190",0.05,Aktobe Generatsiya LLC [100.0%],N/A,Aktobe,Aktobe,approximate,BF; BOF,https://www.gem.wiki/Aktobe_Generatsiya_steel_plant,50.355117,57.145119,,2600.0,1300.0,,,,BF-BOF (coal-based),0.0,818.0,0.0,0.0,,,,announced,announced
P100000120840,Al Atoun Yanbu steel plant,Al Atoun Steel Industries,Saudi Arabia,Middle East,"24.0290000, 38.1800770",,Al Atoun Steel Industries [100.0%],N/A,Medina Province,Yanbu,approximate,EAF,https://www.gem.wiki/Al_Atoun_Yanbu_steel_plant,24.029,38.180077,,,0.0,0.0,0.0,0.0,EAF / IF (electric),0.0,0.0,0.0,910.0,,,,cancelled,cancelled
P100000120835,Al Ittefaq Arab Steel Dammam plant,Arab Steel Co,Saudi Arabia,Middle East,"26.2779170, 49.9491770",37.0,Hilal Al-Tuwairqi [60.0%]; unknown [40.0%],N/A,Eastern Province,Dammam,exact,DRI; EAF,https://www.gem.wiki/Al_Ittefaq_Arab_Steel_Dammam_plant,26.277917,49.949177,1989.0,350.0,,0.0,2500.0,0.0,DRI-EAF,2600.0,1900.0,0.0,0.0,1400.0,0.0,2600.0,operating,operating; announced
P100000120836,Al Ittefaq National Steel Dammam plant,National Steel Co,Saudi Arabia,Middle East,"26.2447860, 49.9690640",22.0,Hilal Al-Tuwairqi; unknown,N/A,Eastern Province,Dammam,exact,EAF,https://www.gem.wiki/Al_Ittefaq_National_Steel_Dammam_plant,26.244786,49.969064,2004.0,,,0.0,,0.0,EAF / IF (electric),1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,operating,operating
P100000121248,Al Qaryan steel plant,Al Qaryan Steel Co,Saudi Arabia,Middle East,"26.2807410, 49.9567550",9.0,Al Qaryan Group [75.0%]; Al Wabel for Trading and Industry [25.0%],N/A,Dammam,Dammam Industrial City,exact,IF; EAF,https://www.gem.wiki/Al_Qaryan_steel_plant,26.280741,49.956755,2017.0,,0.0,0.0,0.0,0.0,EAF / IF (electric),350.0,300.0,0.0,0.0,0.0,0.0,0.0,operating,operating; announced
P100000120446,Al-Ezz Dekheila Steel Alexandria plant,Al Ezz Dekheila Steel Company Alexandria SAE,Egypt,Africa,"31.1234670, 29.8098700",40.0,Al Ezz Dekheila Steel Company Alexandria SAE [100.0%],N/A,Alexandria,Alexandria,exact,DRI; EAF,https://www.gem.wiki/Al-Ezz_Dekheila_Steel_Alexandria_plant,31.123467,29.80987,1986.0,3756.0,,0.0,,0.0,DRI-EAF,3340.0,0.0,0.0,0.0,2320.0,0.0,3340.0,operating,operating
P100000120905,Alchevsk Metallurgical Plant,Alchevsk Metallurgical Plant PJSC,Ukraine,Europe,"48.4781110, 38.7707870",130.0,Southern Mining and Metallurgical Complex LLC,N/A,Luhansk,Alchevsk,exact,BF; BOF,https://www.gem.wiki/Alchevsk_Metallurgical_Plant,48.478111,38.770787,1896.0,10000.0,5400.0,989.0,,,BF-BOF (coal-based),5472.0,0.0,0.0,0.0,5239.0,5472.0,0.0,operating,operating; mothballed; retired
P100000120623,Alfa Acciai Brescia steel plant,Alfa Acciai SpA,Italy,Europe,"45.5086980, 10.2484640",71.0,Siderurgica Investimenti SRL,N/A,Province of Brescia,Brescia,exact,EAF,https://www.gem.wiki/Alfa_Acciai_Brescia_steel_plant,45.508698,10.248464,1955.0,300.0,0.0,0.0,0.0,0.0,EAF / IF (electric),2000.0,0.0,0.0,0.0,0.0,0.0,2000.0,operating,operating
P100000120637,Alfa Acciai Catania steel plant,Acciaierie di Sicilia SpA,Italy,Europe,"37.4384480, 15.0328700",28.0,Siderurgica Investimenti SRL,N/A,Province of Sicily,Catania,exact,EAF,https://www.gem.wiki/Alfa_Acciai_Catania_steel_plant,37.438448,15.03287,1998.0,176.0,0.0,0.0,0.0,0.0,EAF / IF (electric),500.0,0.0,0.0,0.0,0.0,0.0,500.0,operating,operating
P100000120439,Algerian Qatari Steel Jijel plant,Algerian Qatari Steel,Algeria,Africa,"36.7539610, 6.2444200",9.0,Industries Qatar QPSC [49.0%]; FNI - Fonds National d’Investissement [5.0%]; Groupe Industriel Sider SpA,Partial,Jijel,El-Milia,exact,DRI; EAF,https://www.gem.wiki/Algerian_Qatari_Steel_Jijel_plant,36.753961,6.24442,2017.0,2800.0,,0.0,,0.0,DRI-EAF,2100.0,2200.0,0.0,0.0,2500.0,0.0,2100.0,operating,operating; announced
P100000120059,Algoma steel plant,Algoma Steel Group Inc,Canada,North America,"46.5189840, -84.3740680",125.0,Algoma Steel Group Inc [100.0%],N/A,Ontario,Sault Ste. Marie,exact,EAF; BF; BOF,https://www.gem.wiki/Algoma_steel_plant,46.518984,-84.374068,1901.0,2780.0,,0.0,,,EAF / IF (electric),1850.0,1850.0,0.0,3700.0,0.0,0.0,1850.0,operating,operating; construction; retired
P100000120750,Alliance Steel Kuantan plant,Alliance Steel (M) Sdn Bhd,Malaysia,Asia Pacific,"4.0075950, 103.3444580",9.0,Guangxi Beibu Gulf International Port Group Co Ltd [50.0%]; Guangxi Shenglong Metallurgical Co Ltd [50.0%],Partial,Pahang,Kuantan,exact,BF; BOF; Iron other/unspecified; Steel other/unspecified,https://www.gem.wiki/Alliance_Steel_Kuantan_plant,4.007595,103.344458,2017.0,3500.0,,1100.0,720.0,,BF-BOF (coal-based),3500.0,6500.0,0.0,0.0,3500.0,3500.0,0.0,operating,operating; announced
P100001063588,Alter Steel Pinkenba steel plant,Equest Steel Pty Ltd,Australia,Asia Pacific,"-27.4208300, 153.1277150",,Westview Group,N/A,Queensland,Pinkenba,approximate,EAF,https://www.gem.wiki/Alter_Steel_Pinkenba_steel_plant,-27.42083,153.127715,2027.0,216.0,0.0,0.0,0.0,0.0,EAF / IF (electric),0.0,500.0,0.0,0.0,,,,announced,announced
P100000120998,Alton Steel plant,Alton Steel Inc,United States,North America,"38.8844650, -90.1457900",23.0,Alton Steel Inc [100.0%],N/A,Illinois,Alton,exact,EAF,https://www.gem.wiki/Alton_Steel_plant,38.884465,-90.14579,2003.0,250.0,0.0,0.0,0.0,0.0,EAF / IF (electric),0.0,0.0,0.0,680.0,,,,retired,retired
P100000120724,Altos Hornos De Mexico SA (AHMSA) steel plant,Altos Hornos de Mexico SAB de CV,Mexico,North America,"26.8768890, -101.4166120",82.0,Grupo Acerero del Norte SA de CV [64.0%]; small shareholder(s) [36.0%],N/A,Coahuila,Monclova,exact,BF; BOF; EAF,https://www.gem.wiki/Altos_Hornos_De_Mexico_SA_(AHMSA)_steel_plant,26.876889,-101.416612,1944.0,7366.0,2263.0,821.0,4200.0,,Mixed (BF-BOF + electric),0.0,0.0,5500.0,0.0,,,,mothballed,mothballed
P100001064479,Amir Azerbaijan Steel plant,AFA Steel,Iran,Middle East,"46.8436970, 46.8436970",5.0,AFA Steel [100.0%],N/A,East Azerbaijan,Bostan Abad,approximate,IF,https://www.gem.wiki/Amir_Azerbaijan_Steel_plant,46.843697,46.843697,2021.0,300.0,,0.0,,0.0,EAF / IF (electric),500.0,0.0,0.0,0.0,0.0,0.0,0.0,operating,operating
P100000121247,Amirkabir Arak Steel plant,Amir Kabir Arak Steel Co,Iran,Middle East,"34.0833790, 49.7524510",,Amirkabir Khazar Steel Co,N/A,Markazi,Arak,approximate,DRI; EAF,https://www.gem.wiki/Amirkabir_Arak_Steel_plant,34.083379,49.752451,,400.0,,0.0,,0.0,DRI-EAF,0.0,513.0,0.0,0.0,,,,construction,construction
P100000121232,Amreli Steels Dhabeji plant,Amreli Steels Ltd,Pakistan,Asia Pacific,"24.8003260, 67.5048510",15.0,Amreli Steels Ltd [100.0%],N/A,Sindh,Dhabeji,exact,IF; Steel other/unspecified,https://www.gem.wiki/Amreli_Steels_Dhabeji_plant,24.800326,67.504851,2011.0,757.0,,,,,EAF / IF (electric),600.0,0.0,0.0,400.0,0.0,0.0,0.0,operating,operating; cancelled
P100000120803,Amurstal steel plant,Amurstal LLC,Russia,Eurasia,"50.5631310, 136.9763620",84.0,Armada JSC [100.0%],N/A,Khabarovsk,Komsomolsk-on-Amur,exact,EAF; DRI,https://www.gem.wiki/Amurstal_steel_plant,50.563131,136.976362,1942.0,2277.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1150.0,0.0,1000.0,850.0,0.0,0.0,1150.0,operating,operating; mothballed; cancelled
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",China,Asia Pacific,"32.4887040, 114.0382430",55.0,natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],Partial,Henan,Minggang,exact,BF; BOF,https://www.gem.wiki/Angang_Group_Xinyang_Iron_and_Steel_Co_Ltd,32.488704,114.038243,1971.0,3711.0,,600.0,,,BF-BOF (coal-based),3600.0,0.0,0.0,0.0,2988.0,3600.0,0.0,operating,operating; retired
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,China,Asia Pacific,"23.1268220, 113.5058170",25.0,Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],N/A,Guangdong,Economic and Technological Development Zone,exact,EAF,https://www.gem.wiki/Angang_Lianzhong_Stainless_Steel_Co_Ltd,23.126822,113.505817,2001.0,1764.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1900.0,0.0,0.0,0.0,0.0,0.0,1900.0,operating,operating
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,China,Asia Pacific,"41.1482670, 122.9830540",27.43,Angang Steel Co Ltd [100.0%],N/A,Liaoning,unknown,exact,BF; BOF; DRI,https://www.gem.wiki/Angang_Steel_Co_Ltd,41.148267,122.983054,1998.0,31456.0,,,,,BF-BOF (coal-based),20650.0,0.0,0.0,3450.0,16610.0,20650.0,0.0,operating,operating; announced; retired
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,China,Asia Pacific,"40.3084940, 122.1307900",20.0,Angang Steel Co Ltd [100.0%],N/A,Liaoning,Yingkou Economic and Technological Development Zone,exact,BF; BOF,https://www.gem.wiki/Angang_Steel_Co_Ltd_Bayuquan_branch,40.308494,122.13079,2006.0,4072.0,,,,,BF-BOF (coal-based),7500.0,0.0,0.0,0.0,6400.0,7500.0,0.0,operating,operating
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,China,Asia Pacific,"31.5022720, 118.4651620",23.0,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],N/A,Anhui,unknown,exact,BF; BOF; EAF,https://www.gem.wiki/Anhui_Changjiang_Steel_Co_Ltd,31.502272,118.465162,2003.0,3705.0,1375.0,,,,Mixed (BF-BOF + electric),3800.0,0.0,0.0,0.0,3340.0,2700.0,1100.0,operating,operating
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,China,Asia Pacific,"30.5310680, 117.2511470",15.89,Anhui Guihang Special Steel Co Ltd [100.0%],N/A,Anhui,Chizhou,exact,BF; BOF,https://www.gem.wiki/Anhui_Guihang_Special_Steel_Co_Ltd,30.531068,117.251147,2010.0,3000.0,,,,,BF-BOF (coal-based),2700.0,0.0,0.0,0.0,2080.0,2700.0,0.0,operating,operating
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,Anhui Jin'an Stainless Steel Foundry Co Ltd,China,Asia Pacific,"31.7639560, 115.9243720",4.0,Anhui Xinda Steel Development Co Ltd [100.0%],N/A,Anhui,Lu'an,exact,EAF,https://www.gem.wiki/Anhui_Jin_an_Stainless_Steel_Casting_Co_Ltd,31.763956,115.924372,2022.0,279.0,0.0,0.0,0.0,0.0,EAF / IF (electric),500.0,0.0,0.0,0.0,0.0,0.0,500.0,operating,operating
P100000120417,Anhui Jingxian Longxin Iron and Steel Co Ltd,Anhui Jingxian Longxin Iron and Steel Co Ltd,China,Asia Pacific,"30.7090580, 118.4366380",18.0,Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],N/A,Anhui,Xuancheng,exact,EAF,https://www.gem.wiki/Anhui_Jingxian_Longxin_Iron_and_Steel_Co_Ltd,30.709058,118.436638,2008.0,454.0,0.0,0.0,0.0,0.0,EAF / IF (electric),500.0,0.0,0.0,500.0,0.0,0.0,500.0,operating,operating; retired
P100000120402,Anhui Langxi Hongtai Iron and Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd,China,Asia Pacific,"31.2466350, 119.1204430",24.0,Anhui Langxi County Fuhang Steel Co Ltd [100.0%],N/A,Anhui,Xuancheng,exact,EAF,https://www.gem.wiki/Anhui_Langxi_Hongtai_Iron_and_Steel_Co_Ltd,31.246635,119.120443,2002.0,541.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1000.0,0.0,0.0,1100.0,0.0,0.0,1000.0,operating,operating; retired
P100001025923,Anhui Lixin Special Steel Co Ltd,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",China,Asia Pacific,"31.0494162, 119.5296269",14.24,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd [100.0%]",N/A,Anhui,Guangde,exact,EAF,https://www.gem.wiki/Anhui_Lixin_Special_Steel_Co_Ltd,31.0494162,119.5296269,2011.0,335.0,0.0,0.0,0.0,0.0,EAF / IF (electric),500.0,0.0,0.0,0.0,0.0,0.0,500.0,operating,operating
P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,Anhui Shoukuang Dachang Metal Material Co Ltd,China,Asia Pacific,"32.3291710, 115.9549630",16.0,CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],N/A,Anhui,liuan,exact,BF; BOF,https://www.gem.wiki/Anhui_Shoukuang_Dachang_Metal_Material_Co_Ltd,32.329171,115.954963,2010.0,3955.0,,1200.0,,,BF-BOF (coal-based),3000.0,0.0,0.0,0.0,7442.0,3000.0,0.0,operating,operating
P100000120748,Ann Joo Integrated Steel Penang plant,Ann Joo Integrated Steel Sdn Bhd,Malaysia,Asia Pacific,"5.3803910, 100.3775980",19.0,Ann Joo Resources Bhd [100.0%],N/A,Penang,Prai,exact,BF; EAF,https://www.gem.wiki/Ann_Joo_Integrated_Steel_Penang_plant,5.380391,100.377598,2007.0,663.0,,,,,Mixed (BF-BOF + electric),900.0,0.0,0.0,0.0,500.0,0.0,900.0,operating,operating
P100000120749,Ann Joo Steel Selangor plant,Ann Joo Steel Bhd,Malaysia,Asia Pacific,"3.0425850, 101.5370110",65.0,Ann Joo Resources Bhd [100.0%],N/A,Selangor,Shah Alam,exact,EAF,https://www.gem.wiki/Ann_Joo_Steel_Selangor_plant,3.042585,101.537011,1961.0,663.0,0.0,0.0,0.0,0.0,EAF / IF (electric),820.0,0.0,0.0,0.0,0.0,0.0,820.0,operating,operating
P100000120231,Anshan Baode Iron and Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd,China,Asia Pacific,"41.1736130, 122.9455010",26.73,Anshan Baode Iron & Steel Co Ltd [100.0%],N/A,Liaoning,unknown,exact,BF; BOF,https://www.gem.wiki/Anshan_Baode_Iron_and_Steel_Co_Ltd,41.173613,122.945501,1999.0,2235.0,2395.0,,,,BF-BOF (coal-based),1800.0,0.0,0.0,0.0,1150.0,1800.0,0.0,operating,operating
P100000120509,Anshan Iron and Steel Central Sulawesi steel plant,Anshan Iron and Steel Group Co Ltd,Indonesia,Asia Pacific,"-4.2442630, 122.3712210",,Ansteel Group Co Ltd [100.0%],N/A,Central Sulawesi,unknown,approximate,BOF; Iron other/unspecified,https://www.gem.wiki/Anshan_Iron_and_Steel_Central_Sulawesi_steel_plant,-4.244263,122.371221,,,,,,,BF-BOF (coal-based),0.0,0.0,0.0,5000.0,,,,cancelled,cancelled
